player;votes;label
PP;137;PP
PSOE;121;PSOE
VOX;33;VOX
SUMAR;31;SUM
ERC;7;ERC
JUNTS;7;JUN
EH BILDU;6;EB
PNV;5;PNV
MIXTO 1;2;MX1
MIXTO 2;1;MX2
