player;votes;label
Labour Party;48;LAB
Conservative Party;36;CON
Centre Party;28;CEN
Progress Party;21;PRO
Socialist Left Party;13;SOC
Liberal Party;8;LIB
Red Party;8;RED
Green Party;3;GRE
Christian Democratic Party;3;CHR
Patient Focus;1;PAT
