player;votes;label
Labour Party;29;A
Conservative Party;26;B
Centre Party;16;C
Progress Party;13;D
Socialist Left Party;6;E
Liberal Party;3;F
Red Party;3;G
Green Party;2;H
Christian Democratic Party;1;I
Patient Focus;1;J
