j_0;j_1;j_2;j_3;j_4;j_5;j_6;j_7;j_8;j_9
0.0;1.928968253968254;1.428968253968254;1.0956349206349207;0.8456349206349206;0.6456349206349207;0.478968253968254;0.33611111111111114;0.2111111111111111;0.1
1.928968253968254;0.0;3.257936507936508;2.4246031746031744;1.8412698412698412;1.3912698412698412;1.0246031746031745;0.7150793650793651;0.44722222222222224;0.2111111111111111
1.428968253968254;3.257936507936508;0.0;4.142460317460317;3.059126984126984;2.2757936507936507;1.6591269841269842;1.1496031746031745;0.7150793650793651;0.33611111111111114
1.0956349206349207;2.4246031746031744;4.142460317460317;0.0;4.651984126984127;3.3686507936507937;2.4186507936507935;1.6591269841269842;1.0246031746031745;0.478968253968254
0.8456349206349206;1.8412698412698412;3.059126984126984;4.651984126984127;0.0;4.818650793650794;3.3686507936507937;2.2757936507936507;1.3912698412698412;0.6456349206349207
0.6456349206349207;1.3912698412698412;2.2757936507936507;3.3686507936507937;4.818650793650794;0.0;4.651984126984127;3.059126984126984;1.8412698412698412;0.8456349206349206
0.478968253968254;1.0246031746031745;1.6591269841269842;2.4186507936507935;3.3686507936507937;4.651984126984127;0.0;4.142460317460317;2.4246031746031744;1.0956349206349207
0.33611111111111114;0.7150793650793651;1.1496031746031745;1.6591269841269842;2.2757936507936507;3.059126984126984;4.142460317460317;0.0;3.257936507936508;1.428968253968254
0.2111111111111111;0.44722222222222224;0.7150793650793651;1.0246031746031745;1.3912698412698412;1.8412698412698412;2.4246031746031744;3.257936507936508;0.0;1.928968253968254
0.1;0.2111111111111111;0.33611111111111114;0.478968253968254;0.6456349206349207;0.8456349206349206;1.0956349206349207;1.428968253968254;1.928968253968254;0.0
