j_0;j_1;j_2;j_3;j_4;j_5;j_6;j_7;j_8;j_9
0.0;-0.25793650793650796;-0.25793650793650796;-0.25793650793650796;-0.25793650793650796;0.40634920634920635;0.40634920634920635;0.40634920634920635;0.40634920634920635;0.40634920634920635
-0.25793650793650796;0.0;-0.25793650793650796;-0.25793650793650796;-0.25793650793650796;0.40634920634920635;0.40634920634920635;0.40634920634920635;0.40634920634920635;0.40634920634920635
-0.25793650793650796;-0.25793650793650796;0.0;-0.25793650793650796;-0.25793650793650796;0.40634920634920635;0.40634920634920635;0.40634920634920635;0.40634920634920635;0.40634920634920635
-0.25793650793650796;-0.25793650793650796;-0.25793650793650796;0.0;-0.25793650793650796;0.40634920634920635;0.40634920634920635;0.40634920634920635;0.40634920634920635;0.40634920634920635
-0.25793650793650796;-0.25793650793650796;-0.25793650793650796;-0.25793650793650796;0.0;0.40634920634920635;0.40634920634920635;0.40634920634920635;0.40634920634920635;0.40634920634920635
0.40634920634920635;0.40634920634920635;0.40634920634920635;0.40634920634920635;0.40634920634920635;0.0;-0.25793650793650796;-0.25793650793650796;-0.25793650793650796;-0.25793650793650796
0.40634920634920635;0.40634920634920635;0.40634920634920635;0.40634920634920635;0.40634920634920635;-0.25793650793650796;0.0;-0.25793650793650796;-0.25793650793650796;-0.25793650793650796
0.40634920634920635;0.40634920634920635;0.40634920634920635;0.40634920634920635;0.40634920634920635;-0.25793650793650796;-0.25793650793650796;0.0;-0.25793650793650796;-0.25793650793650796
0.40634920634920635;0.40634920634920635;0.40634920634920635;0.40634920634920635;0.40634920634920635;-0.25793650793650796;-0.25793650793650796;-0.25793650793650796;0.0;-0.25793650793650796
0.40634920634920635;0.40634920634920635;0.40634920634920635;0.40634920634920635;0.40634920634920635;-0.25793650793650796;-0.25793650793650796;-0.25793650793650796;-0.25793650793650796;0.0
