j_0;j_1;j_2;j_3;j_4;j_5;j_6;j_7;j_8;j_9
0.0;-0.8928571428571429;-0.8928571428571429;-0.8928571428571429;-0.8928571428571429;-3.4722222222222223;-3.4722222222222223;-3.4722222222222223;-7.976190476190476;-7.976190476190476
-0.8928571428571429;0.0;-0.8928571428571429;-0.8928571428571429;-0.8928571428571429;-3.4722222222222223;-3.4722222222222223;-3.4722222222222223;-7.976190476190476;-7.976190476190476
-0.8928571428571429;-0.8928571428571429;0.0;-0.8928571428571429;-0.8928571428571429;-3.4722222222222223;-3.4722222222222223;-3.4722222222222223;-7.976190476190476;-7.976190476190476
-0.8928571428571429;-0.8928571428571429;-0.8928571428571429;0.0;-0.8928571428571429;-3.4722222222222223;-3.4722222222222223;-3.4722222222222223;-7.976190476190476;-7.976190476190476
-0.8928571428571429;-0.8928571428571429;-0.8928571428571429;-0.8928571428571429;0.0;-3.4722222222222223;-3.4722222222222223;-3.4722222222222223;-7.976190476190476;-7.976190476190476
-3.4722222222222223;-3.4722222222222223;-3.4722222222222223;-3.4722222222222223;-3.4722222222222223;0.0;-16.944444444444443;-16.944444444444443;-34.30555555555556;-34.30555555555556
-3.4722222222222223;-3.4722222222222223;-3.4722222222222223;-3.4722222222222223;-3.4722222222222223;-16.944444444444443;0.0;-16.944444444444443;-34.30555555555556;-34.30555555555556
-3.4722222222222223;-3.4722222222222223;-3.4722222222222223;-3.4722222222222223;-3.4722222222222223;-16.944444444444443;-16.944444444444443;0.0;-34.30555555555556;-34.30555555555556
-7.976190476190476;-7.976190476190476;-7.976190476190476;-7.976190476190476;-7.976190476190476;-34.30555555555556;-34.30555555555556;-34.30555555555556;0.0;-102.55952380952381
-7.976190476190476;-7.976190476190476;-7.976190476190476;-7.976190476190476;-7.976190476190476;-34.30555555555556;-34.30555555555556;-34.30555555555556;-102.55952380952381;0.0
