j_0;j_1;j_2;j_3;j_4;j_5;j_6;j_7;j_8;j_9
0.0;2.828968253968254;1.828968253968254;1.328968253968254;0.9956349206349207;0.7456349206349207;0.5456349206349206;0.37896825396825395;0.2361111111111111;0.1111111111111111
2.828968253968254;0.0;4.546825396825397;3.0468253968253967;2.2134920634920636;1.6301587301587301;1.1801587301587302;0.8134920634920635;0.503968253968254;0.2361111111111111
1.828968253968254;4.546825396825397;0.0;5.63968253968254;3.806349206349206;2.723015873015873;1.9396825396825397;1.323015873015873;0.8134920634920635;0.37896825396825395
1.328968253968254;3.0468253968253967;5.63968253968254;0.0;6.256349206349206;4.173015873015873;2.8896825396825396;1.9396825396825397;1.1801587301587302;0.5456349206349206
0.9956349206349207;2.2134920634920636;3.806349206349206;6.256349206349206;0.0;6.4563492063492065;4.173015873015873;2.723015873015873;1.6301587301587301;0.7456349206349207
0.7456349206349207;1.6301587301587301;2.723015873015873;4.173015873015873;6.4563492063492065;0.0;6.256349206349206;3.806349206349206;2.2134920634920636;0.9956349206349207
0.5456349206349206;1.1801587301587302;1.9396825396825397;2.8896825396825396;4.173015873015873;6.256349206349206;0.0;5.63968253968254;3.0468253968253967;1.328968253968254
0.37896825396825395;0.8134920634920635;1.323015873015873;1.9396825396825397;2.723015873015873;3.806349206349206;5.63968253968254;0.0;4.546825396825397;1.828968253968254
0.2361111111111111;0.503968253968254;0.8134920634920635;1.1801587301587302;1.6301587301587301;2.2134920634920636;3.0468253968253967;4.546825396825397;0.0;2.828968253968254
0.1111111111111111;0.2361111111111111;0.37896825396825395;0.5456349206349206;0.7456349206349207;0.9956349206349207;1.328968253968254;1.828968253968254;2.828968253968254;0.0
