j_0;j_1;j_2;j_3;j_4;j_5;j_6;j_7;j_8;j_9
0.0;-0.14166666666666666;-0.026984126984126985;-0.026587301587301587;-0.022222222222222223;-0.001984126984126984;-0.001984126984126984;-0.0011904761904761906;-0.0011904761904761906;-0.0011904761904761906
-0.1630952380952381;0.0;-0.008333333333333333;-0.028174603174603175;0.014285714285714285;-0.0011904761904761906;-0.0011904761904761906;-0.0003968253968253968;-0.0003968253968253968;-0.0003968253968253968
-0.04007936507936508;-0.010714285714285714;0.0;-0.13373015873015873;-0.022222222222222223;-0.001984126984126984;-0.001984126984126984;-0.0011904761904761906;-0.0011904761904761906;-0.0011904761904761906
-0.10119047619047619;-0.07182539682539682;-0.15714285714285714;0.0;0.014285714285714285;-0.0011904761904761906;-0.0011904761904761906;-0.0003968253968253968;-0.0003968253968253968;-0.0003968253968253968
-0.003968253968253968;-0.022222222222222223;0.04126984126984127;0.05952380952380952;0.0;-0.00873015873015873;-0.00873015873015873;-0.0007936507936507937;-0.0007936507936507937;-0.0007936507936507937
-0.0011904761904761906;-0.005158730158730159;0;0.012301587301587301;-0.01904761904761905;0.0;-0.0011904761904761906;-0.0003968253968253968;-0.0003968253968253968;-0.0003968253968253968
-0.0011904761904761906;-0.005158730158730159;0;0.012301587301587301;-0.01904761904761905;-0.0011904761904761906;0.0;-0.0003968253968253968;-0.0003968253968253968;-0.0003968253968253968
0.005555555555555556;-0.0031746031746031746;0.005555555555555556;0.004761904761904762;-0.013492063492063493;0.005555555555555556;0.005555555555555556;0.0;-0.007936507936507936;-0.007936507936507936
-0.00873015873015873;-0.0007936507936507937;-0.005158730158730159;0.002380952380952381;-0.003968253968253968;-0.00873015873015873;-0.00873015873015873;-0.007936507936507936;0.0;0.006349206349206349
-0.00873015873015873;-0.0007936507936507937;-0.005158730158730159;0.002380952380952381;-0.003968253968253968;-0.00873015873015873;-0.00873015873015873;-0.007936507936507936;0.006349206349206349;0.0
