j_0;j_1;j_2;j_3;j_4;j_5;j_6;j_7;j_8;j_9
0.0;0.014285714285714285;-0.004761904761904762;-0.002380952380952381;0.004761904761904762;-0.002380952380952381;-0.002380952380952381;-0.007142857142857143;0;0
0.014285714285714285;0.0;-0.002380952380952381;0;-0.009523809523809525;0;0;-0.002380952380952381;0;0
-0.004761904761904762;-0.002380952380952381;0.0;0.014285714285714285;0.004761904761904762;-0.002380952380952381;-0.002380952380952381;-0.007142857142857143;0;0
-0.002380952380952381;0;0.014285714285714285;0.0;-0.009523809523809525;0;0;-0.002380952380952381;0;0
0.004761904761904762;-0.009523809523809525;0.004761904761904762;-0.009523809523809525;0.0;0.007142857142857143;0.007142857142857143;-0.004761904761904762;0;0
-0.002380952380952381;0;-0.002380952380952381;0;0.007142857142857143;0.0;0;-0.002380952380952381;0;0
-0.002380952380952381;0;-0.002380952380952381;0;0.007142857142857143;0;0.0;-0.002380952380952381;0;0
-0.007142857142857143;-0.002380952380952381;-0.007142857142857143;-0.002380952380952381;-0.004761904761904762;-0.002380952380952381;-0.002380952380952381;0.0;0.014285714285714285;0.014285714285714285
0;0;0;0;0;0;0;0.014285714285714285;0.0;-0.014285714285714285
0;0;0;0;0;0;0;0.014285714285714285;-0.014285714285714285;0.0
