j_0;j_1;j_2;j_3;j_4;j_5;j_6;j_7;j_8;j_9
0.0;-0.05238095238095238;-0.1365079365079365;-0.05555555555555555;-0.05238095238095238;-0.02857142857142857;-0.02857142857142857;-0.03134920634920635;-0.03134920634920635;-0.011507936507936509
-0.08174603174603175;0.0;-0.0015873015873015873;-0.07777777777777778;-0.010317460317460317;0.011111111111111112;0.011111111111111112;-0.007142857142857143;-0.007142857142857143;-0.0015873015873015873
-0.12222222222222222;0.0015873015873015873;0.0;-0.023015873015873017;-0.0031746031746031746;-0.01984126984126984;-0.01984126984126984;-0.01904761904761905;-0.01904761904761905;-0.00753968253968254
-0.07301587301587302;-0.06825396825396825;-0.06428571428571428;0.0;0.010317460317460317;-0.003968253968253968;-0.003968253968253968;0.012301587301587301;0.012301587301587301;0.002380952380952381
-0.011111111111111112;-0.011111111111111112;-0.011904761904761904;0.02142857142857143;0.0;-0.003968253968253968;-0.003968253968253968;0.012301587301587301;0.012301587301587301;0.002380952380952381
-0.007142857142857143;-0.004761904761904762;-0.007936507936507936;0.011111111111111112;-0.0011904761904761906;0.0;-1.2e-28;0.0007936507936507937;0.0007936507936507937;0.0003968253968253968
-0.007142857142857143;-0.004761904761904762;-0.007936507936507936;0.011111111111111112;-0.0011904761904761906;-1.2e-28;0.0;0.0007936507936507937;0.0007936507936507937;0.0003968253968253968
-0.006349206349206349;-0.015873015873015872;0;0;-0.00873015873015873;0.0007936507936507937;0.0007936507936507937;0.0;0.00873015873015873;0.002380952380952381
-0.006349206349206349;-0.015873015873015872;0;0;-0.00873015873015873;0.0007936507936507937;0.0007936507936507937;0.00873015873015873;0.0;0.002380952380952381
-0.010317460317460317;0.006349206349206349;0.010317460317460317;0.010317460317460317;0.006349206349206349;0.003968253968253968;0.003968253968253968;0.008333333333333333;0.008333333333333333;0.0
