j_0;j_1;j_2;j_3;j_4;j_5;j_6;j_7;j_8;j_9
0.0;1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112
1.1111111111111112;0.0;1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112
1.1111111111111112;1.1111111111111112;0.0;1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112
1.1111111111111112;1.1111111111111112;1.1111111111111112;0.0;1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112
1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112;0.0;1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112
1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112;0.0;3.611111111111111;3.611111111111111;3.611111111111111;3.611111111111111
1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112;3.611111111111111;0.0;3.611111111111111;3.611111111111111;3.611111111111111
1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112;3.611111111111111;3.611111111111111;0.0;3.611111111111111;3.611111111111111
1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112;3.611111111111111;3.611111111111111;3.611111111111111;0.0;28.61111111111111
1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112;1.1111111111111112;3.611111111111111;3.611111111111111;3.611111111111111;28.61111111111111;0.0
